Wall time,Step,Value
1666266197.7969854,101,0.47259458899497986
1666266470.7933822,301,0.36403071880340576
1666266548.7577164,361,0.3404434025287628
1666266717.9122553,481,0.29503586888313293
1666267178.0606854,801,0.25027018785476685
1666267229.7298007,841,0.27316612005233765
1666267281.7060087,881,0.244249626994133
1666267307.8539836,901,0.2007487267255783
1666267359.8250644,941,0.30960822105407715
1666267538.8430374,1061,0.2792927324771881
1666267565.1856484,1081,0.15241901576519012
1666267615.3783307,1121,0.16887593269348145
1666267863.8143218,1301,0.13025310635566711
1666268034.4272463,1421,0.1409209817647934
1666268060.1268775,1441,0.180146723985672
1666268085.6122386,1461,0.1063133254647255
1666268111.6245844,1481,0.21717926859855652
1666268267.5866778,1581,0.1983150988817215
1666268489.210859,1741,0.11852434277534485
1666268670.8214161,1881,0.08950100094079971
1666268902.0141277,2041,0.13185511529445648
1666268981.2795124,2101,0.08756862580776215
1666269021.9528503,2121,0.12251294404268265
1666269202.973287,2261,0.08846914023160934
1666269346.6774576,2361,0.1473236232995987
1666269575.4584858,2521,0.09966185688972473
1666269654.392112,2581,0.08700282871723175
1666269680.072921,2601,0.18272759020328522
1666269928.2738042,2781,0.07417011260986328
1666269980.9689324,2821,0.1695769727230072
1666270007.1963015,2841,0.1011887937784195
1666270232.7185102,3001,0.10112591832876205
1666270378.5332646,3101,0.11750871688127518
1666270455.439311,3161,0.09632949531078339
1666270700.3469076,3341,0.06535674631595612
1666270726.1514966,3361,0.05732443556189537
1666270804.0596876,3421,0.08950740098953247
1666270981.8301587,3541,0.05971426144242287
1666271007.6464856,3561,0.08751198649406433
1666271151.8944125,3661,0.11189861595630646
1666271203.8741562,3701,0.05480708181858063
1666271230.4269536,3721,0.07561648637056351
1666271333.1178732,3801,0.09608941525220871
1666271359.2681844,3821,0.07686661928892136
1666271555.9704125,3961,0.08538080006837845
1666271846.0212748,4121,0.08217403292655945
1666271871.9841454,4141,0.06760504841804504
1666271897.8904305,4161,0.09011133760213852
1666272015.3387814,4241,0.09763190150260925
1666272315.7511997,4461,0.10244445502758026
1666272480.766331,4581,0.10216180235147476
1666272621.6668198,4681,0.05520645156502724
1666272700.4431021,4741,0.04355071485042572
1666273023.8551164,4981,0.08893558382987976
1666273204.2789874,5101,0.07134472578763962
1666273349.5798128,5201,0.03881373628973961
1666273427.996911,5261,0.04916222020983696
1666273530.5910873,5341,0.0759541243314743
1666273649.360966,5421,0.0796007364988327
1666273701.1932323,5461,0.10644630342721939
1666274231.124497,5841,0.07812514901161194
1666274359.5639765,5941,0.07364455610513687
1666274399.279703,5961,0.07564916461706161
1666274538.5662642,6061,0.05498199909925461
1666274643.6042817,6141,0.08345823734998703
1666274683.7380052,6161,0.09865950047969818
1666274735.5077736,6201,0.06348641961812973
1666274957.73453,6361,0.09246339648962021
1666274983.380884,6381,0.07104616612195969
1666275143.6473327,6501,0.04877005144953728
1666275172.1671104,6521,0.06736429035663605
1666275212.028047,6541,0.0765531063079834
1666275290.2965593,6601,0.07192264497280121
1666275538.7608504,6781,0.04607647657394409
1666275762.3929713,6941,0.04975850507616997
1666276205.0526457,7261,0.14175696671009064
1666276323.0618646,7341,0.13907429575920105
1666276479.016571,7461,0.05575679615139961
1666276605.1139154,7541,0.04570471867918968
1666276656.5505178,7581,0.05107910558581352
1666276983.427468,7821,0.07381541281938553
1666277009.504865,7841,0.05646814778447151
1666277515.2521887,8161,0.0683886855840683
1666277867.5165503,8421,0.06816065311431885
1666277893.582184,8441,0.09110624343156815
1666277959.549651,8481,0.08435478806495667
1666278128.3626506,8601,0.038881588727235794
1666278377.4528916,8781,0.05889708176255226
1666278430.9665952,8821,0.0543036125600338
1666278471.367848,8841,0.09894595295190811
1666278549.309374,8901,0.05662527307868004
1666278715.2829628,9021,0.05166478455066681
1666278963.6865375,9201,0.06662090867757797
1666279054.8023036,9261,0.07026799023151398
1666279081.122794,9281,0.05507374182343483
1666279327.890634,9461,0.07287518680095673
1666279354.1546516,9481,0.058556437492370605
1666279769.4656348,9781,0.05666730925440788
1666279835.2947202,9821,0.04850165173411369
1666279886.4664094,9861,0.06510570645332336
1666280275.739177,10141,0.07514028996229172
1666280419.3318384,10241,0.07034225016832352
1666280471.9506059,10281,0.06120413914322853
1666280549.1358669,10341,0.0598149411380291
1666280776.4370363,10501,0.05803679674863815
1666280949.3340075,10621,0.05240175873041153
1666281001.4507558,10661,0.052834369242191315
1666281078.955502,10721,0.07074598968029022
1666281248.1260211,10841,0.0757150650024414
1666281376.4779525,10941,0.06065748259425163
1666281673.052753,11141,0.03403100371360779
1666281725.1958263,11181,0.04543088749051094
1666281829.1729898,11261,0.058288924396038055
1666281996.7575066,11381,0.050688959658145905
1666282101.2010581,11461,0.09342872351408005
1666282128.2002218,11481,0.0673113688826561
1666282277.7959425,11581,0.050997864454984665
1666282328.6970634,11621,0.07358487695455551
1666282353.8691337,11641,0.10373460501432419
1666282404.7392852,11681,0.05488935485482216
